what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369419391417
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369419391417
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369419391417
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369419406211
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369419406243
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369419860579
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420505683
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369420511479
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420526664
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420542162
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369420553082
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420570173
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420570173
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420570236
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420579219
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369420579234
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420604340
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420604356
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420604356
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420607089
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420611026
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420611042
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420611089
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420616666
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369420616666
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420624399
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420626415
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420626633
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420654332
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369420654348
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420668127
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420668189
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420708839
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420820119
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420824259
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420824259
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369420824275
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369421855613
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369421966599
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369421966599
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369421966630
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369422001344
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369422008408
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369422036667
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369422056204
