what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539015319
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539015366
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1370539015413
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1370539069317
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1370539069442
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1370539069598
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1370539069754
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1370539069895
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1370539070051
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1370539070208
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539094754
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539094879
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539096847
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539096972
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1370539130580
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539137236
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539139080
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1370539142314
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1370539142470
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539151704
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539188078
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1370539189062
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1370539264403
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539379977
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539391539
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539476551
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539542533
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539556470
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539756962
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539768556
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539768556
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539768603
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539835600
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1370539838475
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370539841475
