what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322729803439
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1322729803798
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1322729865995
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1322729866994
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1322729867852
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322729881892
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322729882126
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.views.showView",1322729882188
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322729915603
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322730171160
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1322730208429
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322730213546
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322730216432
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1322730216790
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1322730306506
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322730358049
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322730384085
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322730764145
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322730772429
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322730927529
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322730963362
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322730963659
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1322730969961
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1322730970460
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322731013282
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322731039524
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322731202825
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322731225539
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322731225820
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1322731232793
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322731296519
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322731299280
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1322731299514
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1322731357515
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322731530597
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322731535497
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322731546698
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322731715404
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322731718056
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1322731720052
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1322731734108
