what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369765599695
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369765613367
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369765613461
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369765779845
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369765779954
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369765789876
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369765790032
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369765811406
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369765816390
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369765816406
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369765827155
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369765841249
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369765841327
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369765854201
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369765878982
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1369765892231
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369765900356
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369765946104
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369765949104
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369765984306
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369765996477
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369766001039
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369766001055
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369766008055
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369766010180
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369766010289
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369766016179
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369766016273
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369766065474
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369766065521
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369766072146
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369766072349
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369766079177
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369766081521
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369766085677
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369766094598
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369766233327
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369766261123
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369766272279
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369766276794
