what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322193476
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322194768
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1319322196738
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319322198877
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319322198952
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322340420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322345241
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319322345299
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322458862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322521422
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319322525865
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1319322536622
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1319322561576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322574305
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322574382
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322578960
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322579030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322582831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322582911
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322593759
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322600415
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322645226
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322686788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322824981
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322832116
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322832148
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319322833507
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1319322839570
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319322839765
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319322839844
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319323077441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319323151900
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319323264571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319323271926
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319323315160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319323327938
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1319323334910
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1319323337542
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319323367688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319323374465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319323382492
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1319323390403
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319323390578
