what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1320755132444
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1320755132444
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1320755132444
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1320755132444
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1320755132444
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1320755132444
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1320755132444
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1320755132444
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1320755132460
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1320755132460
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1320755132460
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1320755132460
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1320755132460
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1320755132460
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1320755132460
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1320755132460
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1320755132476
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1320755132476
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1320755132476
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1320755132491
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1320755132491
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1320755132491
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1320755132491
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1320755132507
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1320755132507
os,sysinfo,,,"win32",1320755132522
arch,sysinfo,,,"x86",1320755132522
ws,sysinfo,,,"win32",1320755132522
locale,sysinfo,,,"pt_BR",1320755132522
processors,sysinfo,,,"2",1320755132522
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1320755132522
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1320755132522
java.specification.name,sysinfo,,,"Java Platform API Specification",1320755132522
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320755132522
java.specification.version,sysinfo,,,"1.6",1320755132522
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1320755132522
java.version,sysinfo,,,"1.6.0_20",1320755132522
java.vm.info,sysinfo,,,"mixed mode, sharing",1320755132522
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1320755132522
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1320755132522
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320755132522
java.vm.specification.version,sysinfo,,,"1.0",1320755132522
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1320755132522
java.vm.version,sysinfo,,,"16.3-b01",1320755132522
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1320755150132
